language,term,system,truth,score
fr,think about what you can do to protect the people and their property against wildfires you have a choice of different housing and upgrades and defences are also available choose the best options and save as many people as you can,Protection contre les feux de forêt,Réfléchissez à ce que vous pouvez faire pour protéger les personnes et leurs biens contre les feux de forêt. Vous avez le choix entre différents types d'hébergement et de nombreuses possibilités d'amélioration et de défenses. Choisissez les meilleures options et sauvez autant de personnes que vous pouvez.,0.15
fr,you have a budget of budget and around time minutes to work a wildfire is possible and then it will be too late good luck,Vous disposez d'un budget de ${{BUDGET}} et d'environ {{TIME}} minutes pour travailler. Un incendie de forêt est possible et alors il sera trop tard. Bonne chance!,"Vous disposez d'un budget de ${{BUDGET}} et de {{TIME}} minutes environ pour travailler. Un feu de forêt risque de se déclarer et ensuite, il sera trop tard. Bonne chance !",0.82
fr,small trees and dry bushes are fuel sources that can easily catch fire by removing them from around your home gives you better protection,espace défendable,"Les petits arbres, broussailles sèches et buissons sont des sources combustibles rapidement inflammables. Nettoyez les alentours de votre maison, vous n'en serez que mieux protégé.",0.16
fr,flat ground is safer from fires than sloping terrain the lower part of a slope is safer than higher areas use the risk map to help identify areas most prone to danger,terrain plat,Un terrain plat est bien plus sûr qu'un terrain en pente en cas d'incendie. La partie basse d'une pente est plus sûre que sa partie haute. Utilisez la carte des risques pour vous aider à identifier les zones les plus dangereuses.,0.00
fr,build firebreaks between houses and any forested or bush land areas to reduce the impact of wildfire rivers roads or any areas cleared of vegetation provide corridors that can halt or reduce the chance of wildfire spreading they can also provide access to firefighting operations,barrière coupe-feu,"Construisez des coupe-feux entre les maisons et les zones boisées ou broussailleuses pour réduire la propagation d'un feu de forêt. Les rivières, routes ou zones déboisées sont autant de couloirs permettant d'interrompre ou de réduire le risque de propagation d'un feu de forêt. Ils servent également d'accès pour des opérations de lutte contre le feu.",0.01
fr,as you have installed an early warning system an evacuation of residents now will be possible once a warning is given,"Comme vous avez installé un système d'alerte précoce, l'évacuation des résidents sera désormais possible dès qu'une alerte sera émise.","Puisque vous avez installé un système de première alerte, l'évacuation des résidents sera possible dès que l'alerte aura été donnée.",0.78
fr,plant vegetation of low flammability to reduce the spreading of wildfires this includes trees without fine branches or deeply rooted plants with thick heavy leaves and dense woody stems,végétation à faible inflammabilité,"Plantez de la végétation peu inflammable pour réduire le risque de propagation des feux de forêt. Il s'agit d'arbres sans fines branches ou de plantes aux racines profondes, aux feuilles épaisses et aux tiges ligneuses.",0.17
fr,storing flammable material such as gas or fuels firewood or uncollected bushes near your home increases fire risks store them at some distance from your home,Stockage de matières inflammables,"Le stockage de matières inflammables telles que le gaz ou les carburants, le bois de chauffage, ou l'absence de débroussaillage autour de votre maison augmentent les risques d'incendie. Stockez-les à bonne distance de votre maison.",0.26
fr,your community should identify and publicise fire risks through a fire danger rating system these systems forecast the current potential for fire based on recent rainfall temperature wind speed and fuel conditions,système d'évaluation du danger d'incendie,"Votre communauté doit identifier et rendre publics les risques d'incendie en utilisant un système d'évaluation des risques. Ces systèmes prévoient l'intensité potentielle d'un incendie en se basant sur les récentes précipitations, la température, la vitesse du vent et les conditions de son alimentation.",0.13
fr,upgrading buildings can improve their safety and protect the occupants better use fireresistant building materials to increase safety and decrease risk of damage explore available options to upgrade each building so you can reduce the possibility of losses often simple measures can provide important protection,Rétrofitting des bâtiments,La modernisation des bâtiments les sécurise et protège mieux leurs occupants. Utilisez des matériaux de construction ignifugés pour accroître la sécurité et réduire le risque de dégâts. Étudiez les options disponibles proposées en matière de modernisation des bâtiments afin de réduire le risque de pertes humaines. De simples mesures peuvent souvent offrir une grande protection.,0.01
fr,when an evacuation happens people will go to the community centre building this building should be in a safe location to provide the most protection,centre d'évacuation,"Lorsqu'une évacuation est déclenchée, les gens se rendent dans le bâtiment du centre communautaire. Cette construction doit être située sur un emplacement sûr pour fournir la plus grande protection possible.",0.09
fr,while schools and hospitals provide important education and medical help they can also become important meeting and shelter points nearly everyone in a community knows where they are so can get to them quickly they should always be constructed in safe areas or be protected as much as possible,lieux de refuge publics,"Si la mission première des écoles et des hôpitaux est de dispenser éducation et soins médicaux, leurs bâtiments peuvent également être d'importants lieux de rassemblement et de refuge. Dans une communauté, chacun sait où ils sont et peut donc s'y rendre rapidement. Ces structures doivent toujours être construites en lieu sûr et être le mieux possible protégées.",0.08
